,Unnamed: 0,#,Name,Article,Ring,Date,Links.1,Id_second_page
926,8,4,"A: Menores, B: Mayores, C: Jinetes de 1ra. 1.00 mts",Jump Off,Verde,2021-07-24,/results?id=15396&show=678,678
927,9,3,A: Menores B: Mayores 0.90 mts,Tiempo Ideal,Verde,2021-07-24,/results?id=15395&show=678,678
928,10,2,CN 5 AÑOS 1.00 mts,Tiempo Ideal,Verde,2021-07-24,/results?id=15394&show=678,678
929,0,28,Abierta 1.20 mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-25,/results?id=15392&show=673,673
930,1,27,Juvenil y Abierta 1.30 mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-25,/results?id=15391&show=673,673
931,2,26,Abierta 1.40 mts,Jump Off,Principal,2021-07-25,/results?id=15390&show=673,673
932,3,25,Elite,Jump Off,Principal,2021-07-25,/results?id=15389&show=673,673
933,4,24,"Owner Amateur, Infantil y Abierta 1.10 mts",238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-25,/results?id=15388&show=673,673
934,5,23,U-14 y Abierta 1.00 mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-25,/results?id=15387&show=673,673
935,6,22,Pre-Infantil y Abierta 0.90 mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-25,/results?id=15386&show=673,673
936,7,21,U-10 y Abierta 0.80 mts,Tiempo Ideal,Principal,2021-07-25,/results?id=15385&show=673,673
937,8,20,Lead Line,II Blue Ribbon,Techado,2021-07-25,/results?id=15384&show=673,673
938,9,19,Verticales Menores y Mayores,Tiempo Ideal,Techado,2021-07-25,/results?id=15383&show=673,673
939,10,18,Novicios Menores y Mayores,Tiempo Ideal,Techado,2021-07-25,/results?id=15382&show=673,673
940,11,A,Horario Domingo,Speed,Horario,2021-07-25,/results?id=15381&show=673,673
941,12,17,Abierta 1.45 mts,Jump Off,Principal,2021-07-24,/results?id=15380&show=673,673
942,13,16,Abierta 1.35 mts,Jump Off,Principal,2021-07-24,/results?id=15379&show=673,673
943,14,15,Abierta 1.25 mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-24,/results?id=15378&show=673,673
944,15,14,Abierta 1.15 mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-24,/results?id=15377&show=673,673
945,16,13,Abierta 1.05 mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-24,/results?id=15376&show=673,673
946,17,12,Abierta 0.95,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-07-24,/results?id=15375&show=673,673
947,18,11,Abierta 0.85 mts,Tiempo Ideal,Principal,2021-07-24,/results?id=15374&show=673,673
948,19,10,Abierta 0.75 mts,Tiempo Ideal,Principal,2021-07-24,/results?id=15373&show=673,673
949,20,A,Horario Sabado,Speed,Horario,2021-07-24,/results?id=15372&show=673,673
950,21,9,Novicios Menores y Mayores,Tiempo Ideal,Techado,2021-07-23,/results?id=15371&show=673,673
951,22,8,Verticales Menores y Mayores,Tiempo Ideal,Techado,2021-07-23,/results?id=15370&show=673,673
952,23,7,Abierta 0.80 mts,Tiempo Ideal,Principal,2021-07-23,/results?id=15369&show=673,673
953,24,6,Abierta 0.90 mts,Speed,Principal,2021-07-23,/results?id=15368&show=673,673
954,25,5,Abierta 1.00 mts,Speed,Principal,2021-07-23,/results?id=15367&show=673,673
955,26,4,Abierta 1.10 mts,Speed,Principal,2021-07-23,/results?id=15366&show=673,673
956,27,3,Abierta 1.20 mts,Speed,Principal,2021-07-23,/results?id=15365&show=673,673
957,28,2,Abierta 1.30 mts,Speed,Principal,2021-07-23,/results?id=15364&show=673,673
958,29,1,Abierta 1.40 mts,Speed,Principal,2021-07-23,/results?id=15363&show=673,673
959,30,A,Horario Viernes,Speed,Horario,2021-07-23,/results?id=15362&show=673,673
960,0,3400,"Est. 10:00 $2500 2'/2'6"" Derby - Order of Go",Hunters,,2021-05-08,/results?id=us_12017&show=us_419,419
961,1,2304,$1250 Zone 1.30m Am Jumper Individual Final,II Blue Ribbon,,2021-05-08,/results?id=us_11983&show=us_419,419
962,2,2303,$375 Zone 1.30m Am Jumper 2nd Ind. Qual,II Blue Ribbon,,2021-05-08,/results?id=us_11982&show=us_419,419
963,3,2302,$375 Zone 1.30m Am Jumper Team Champ/2nd Ind Qual,II Blue Ribbon,,2021-05-08,/results?id=us_11981&show=us_419,419
964,4,2301,$500 Zone 1.30m Am Jumper Ind. Qual/1st Rnd Team,II.1 Speed,,2021-05-08,/results?id=us_11980&show=us_419,419
965,5,2204,$1250 Zone 1.20m Am Jumper Ind. Final,II Blue Ribbon,,2021-05-08,/results?id=us_11979&show=us_419,419
966,6,2203,$375 Zone 1.20m Am Jumper 2nd Ind Qual,II Blue Ribbon,,2021-05-08,/results?id=us_11978&show=us_419,419
967,7,2202,$375 Zone 1.20m Am Jumper Team Champ/2nd Ind Qual,II Blue Ribbon,,2021-05-08,/results?id=us_11977&show=us_419,419
968,8,2201,$500 Zone 1.20m Am Jumper Ind. Qual/1st Rnd Team,II.1 Speed,,2021-05-08,/results?id=us_11976&show=us_419,419
969,9,2104,$1250 1.10m Adult Zone Ind. Final,II Blue Ribbon,,2021-05-08,/results?id=us_11975&show=us_419,419
970,10,2103,$375 1.10m Adult Zone 2nd Ind. Qual.,II Blue Ribbon,,2021-05-08,/results?id=us_11974&show=us_419,419
971,11,2102,$375 1.10m Adult Zone Team Champ/2nd Ind Qual,II Blue Ribbon,,2021-05-08,/results?id=us_11973&show=us_419,419
972,12,2101,$500 1.10m Adult Zone Team/Ind Qual,II.1 Speed,,2021-05-08,/results?id=us_11972&show=us_419,419
973,13,1402,$2000 1.40m Platinum Team Championship,II Blue Ribbon,,2021-05-08,/results?id=us_11960&show=us_419,419
974,14,1304,$1250 Zone 1.30m Jr Individual Final,II Blue Ribbon,,2021-05-08,/results?id=us_11958&show=us_419,419
975,15,1303,$375 Zone 1.30m Jr Second Ind Qualifier,II Blue Ribbon,,2021-05-08,/results?id=us_11957&show=us_419,419
976,16,1302,$375 Zone 1.30m Jr/Am Team Champ/2nd Ind Qual,II Blue Ribbon,,2021-05-08,/results?id=us_11956&show=us_419,419
977,17,1301,"$500 Zone 1.30m Jr Ind Qual, 1st Rnd Team",II.1 Speed,,2021-05-08,/results?id=us_11955&show=us_419,419
978,18,2400,"2'/2'6"" Derby - 2'6"" Competitors",Hunters - Under Saddle,,2021-05-08,/results?id=us_11945&show=us_419,419
979,19,1400,"2'/2'6"" Derby - 2' Competitors",Hunters - Under Saddle,,2021-05-08,/results?id=us_11944&show=us_419,419
980,20,119,"Est. 4:00 SRJT 3'6"" Hunter U/S",Hunters - Under Saddle,,2021-05-08,/results?id=us_11911&show=us_419,419
981,21,118,"SRJT 3'6"" Hunter O/F",Hunters,,2021-05-08,/results?id=us_11910&show=us_419,419
982,22,117,"SRJT 3'6"" Hunter O/F",Hunters,,2021-05-08,/results?id=us_11909&show=us_419,419
983,23,48,$1000 6 Year Old Final,II.2b Immediate JO,,2021-05-08,/results?id=us_11885&show=us_419,419
984,24,47,$500 6 Year Old Power/Speed,II.2d Power and Speed,,2021-05-08,/results?id=us_11884&show=us_419,419
985,25,43,$1000 Horseflight 1.40m Jr/Am Speed,II.1 Speed,,2021-05-08,/results?id=us_11880&show=us_419,419
986,26,19,$500 1.30m Speed,II.1 Speed,,2021-05-08,/results?id=us_11862&show=us_419,419
987,27,550,Leadline,Hunter Model,Main Ring,2021-07-25,/results?id=us_12016&show=us_419,419
988,28,12,Est. 11:30 .75m J/O,II.2b Immediate JO,Arena 2,2021-07-25,/results?id=us_11971&show=us_419,419
989,29,28,"$75,000 1.45m FEI Grand Prix",FEI Jump Off,Main Ring,2021-07-25,/results?id=us_11891&show=us_419,419
990,30,44,$5000 Horseflight 1.40m Jr/Am Final,II.2b Immediate JO,Main Ring,2021-07-25,/results?id=us_11881&show=us_419,419
991,31,35,Est. 9:30 $5000 NAL/WIHS 1.10m Child/Adult Final,II.2b Immediate JO,Arena 2,2021-07-25,/results?id=us_11872&show=us_419,419
992,32,32,1.0m Child/Adult Final,II.2b Immediate JO,Arena 2,2021-07-25,/results?id=us_11869&show=us_419,419
993,33,16,$2500 1.25m Mini Prix,II.2b Immediate JO,Main Ring,2021-07-25,/results?id=us_11859&show=us_419,419
994,34,4,Est. 12:45 .85m Final,II.2b Immediate JO,Arena 2,2021-07-25,/results?id=us_11850&show=us_419,419
995,35,11,Est. 8:30 .75m Speed,II.1 Speed,Arena 2,2021-07-24,/results?id=us_11970&show=us_419,419
996,36,1404,$5000 1.40m Platinum Individual Final,II Blue Ribbon,Main Ring,2021-07-24,/results?id=us_11962&show=us_419,419
997,37,382,Est. 8:30 ASPCA Horsemanship,Hunters,Hunter Arena,2021-07-24,/results?id=us_11936&show=us_419,419
998,38,381,Dover/USEF Hunter Seat Medal,Hunters,Hunter Arena,2021-07-24,/results?id=us_11935&show=us_419,419
999,39,380,Est. 3:30 Plat Perf/USEF Talent Search 2*,Hunters,Arena 2,2021-07-24,/results?id=us_11934&show=us_419,419
1000,40,401,Est. 12:00 $7500 USHJA National Hunter Derby,Hunters,Hunter Arena,2021-07-24,/results?id=us_11933&show=us_419,419
1001,41,400,"Est. 10:00 $2500 2'/2'6"" Hunter Derby",Hunters,Hunter Arena,2021-07-24,/results?id=us_11932&show=us_419,419
1002,42,50,$1500 7 Year Old Final,II.2b Immediate JO,Main Ring,2021-07-24,/results?id=us_11887&show=us_419,419
1003,43,46,$1000 5/6 Year Old Final (comb),II.2b Immediate JO,Arena 2,2021-07-24,/results?id=us_11883&show=us_419,419
1004,44,41,$5000 1.30m Jr/Am Final,II.2b Immediate JO,Main Ring,2021-07-24,/results?id=us_11878&show=us_419,419
1005,45,38,$5000 NAL 1.20m Jr/Am Final,II.2b Immediate JO,Main Ring,2021-07-24,/results?id=us_11875&show=us_419,419
1006,46,34,Est. 1:30 $500 1.10m Child/Adult Speed,II.1 Speed,Arena 2,2021-07-24,/results?id=us_11871&show=us_419,419
1007,47,31,Est. 11:45 1.0m Child/Adult Speed,II.1 Speed,Arena 2,2021-07-24,/results?id=us_11868&show=us_419,419
1008,48,23,"$20,000 Restylane 1.35m National Prix",II.2a Jump Off,Main Ring,2021-07-24,/results?id=us_11866&show=us_419,419
1009,49,3,Est. 9:45 .85m Speed,II.1 Speed,Arena 2,2021-07-24,/results?id=us_11849&show=us_419,419
1010,50,511,Est. 10:00 .75m J/O,II.2b Immediate JO,Arena 2,2021-07-23,/results?id=us_12015&show=us_419,419
1011,51,1204,$1250 Zone 1.20/1.30m Jr/Am Individual Final,II Blue Ribbon,Zone Championships,2021-07-23,/results?id=us_11954&show=us_419,419
1012,52,1104,$2500 Zone 1.10m Ch/Ad Individual Final,II Blue Ribbon,Zone Championships,2021-07-23,/results?id=us_11950&show=us_419,419
1013,53,219,"Non-Pro 3'6"" Hunter U/S",Hunters - Under Saddle,Hunter Arena,2021-07-23,/results?id=us_11931&show=us_419,419
1014,54,218,"Non-Pro 3'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-23,/results?id=us_11930&show=us_419,419
1015,55,217,"Non-Pro 3'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-23,/results?id=us_11929&show=us_419,419
1016,56,214,Non-Pro 3' Hunter U/S,Hunters - Under Saddle,Hunter Arena,2021-07-23,/results?id=us_11926&show=us_419,419
1017,57,213,Non-Pro 3' Hunter O/F,Hunters,Hunter Arena,2021-07-23,/results?id=us_11925&show=us_419,419
1018,58,212,Non-Pro 3' Hunter O/F,Hunters,Hunter Arena,2021-07-23,/results?id=us_11924&show=us_419,419
1019,59,209,"Non-Pro 2'6"" Hunter U/S",Hunters - Under Saddle,Hunter Arena,2021-07-23,/results?id=us_11921&show=us_419,419
1020,60,208,"Non-Pro 2'6"" Hunter O/F*",Hunters,Hunter Arena,2021-07-23,/results?id=us_11920&show=us_419,419
1021,61,207,"Non-Pro 2'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-23,/results?id=us_11919&show=us_419,419
1022,62,204,Non-Pro 2' Hunter U/S,Hunters - Under Saddle,Hunter Arena,2021-07-23,/results?id=us_11916&show=us_419,419
1023,63,203,Non-Pro 2' Hunter O/F*,Hunters,Hunter Arena,2021-07-23,/results?id=us_11915&show=us_419,419
1024,64,202,Non-Pro 2' Hunter O/F,Hunters,Hunter Arena,2021-07-23,/results?id=us_11914&show=us_419,419
1025,65,114,Est 1:30 USHJA 3' Hunter U/S,Hunters - Under Saddle,Hunter Arena,2021-07-23,/results?id=us_11906&show=us_419,419
1026,66,113,USHJA 3' Hunter O/F,Hunters,Hunter Arena,2021-07-23,/results?id=us_11905&show=us_419,419
1027,67,112,USHJA 3' Hunter O/F,Hunters,Hunter Arena,2021-07-23,/results?id=us_11904&show=us_419,419
1028,68,109,"Est. 10:30 USHJA 2'6"" Hunter U/S",Hunters - Under Saddle,Hunter Arena,2021-07-23,/results?id=us_11901&show=us_419,419
1029,69,108,"USHJA 2'6"" Hunter O/F*",Hunters,Hunter Arena,2021-07-23,/results?id=us_11900&show=us_419,419
1030,70,107,"USHJA 2'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-23,/results?id=us_11899&show=us_419,419
1031,71,104,USHJA 2' Hunter U/S,Hunters - Under Saddle,Hunter Arena,2021-07-23,/results?id=us_11896&show=us_419,419
1032,72,103,USHJA 2' Hunter O/F*,Hunters,Hunter Arena,2021-07-23,/results?id=us_11895&show=us_419,419
1033,73,102,USHJA 2' Hunter O/F,Hunters,Hunter Arena,2021-07-23,/results?id=us_11894&show=us_419,419
1034,74,27,"$37,000 Restylane 1.45m Welcome",FEI Jump Off,Main Ring,2021-07-23,/results?id=us_11890&show=us_419,419
1035,75,40,$1000 Horseflight 1.30m/1.40 Jr/Am Speed (comb),II.1 Speed,Main Ring,2021-07-23,/results?id=us_11877&show=us_419,419
1036,76,37,$1000 1.20m Jr/Am Speed,II.1 Speed,Main Ring,2021-07-23,/results?id=us_11874&show=us_419,419
1037,77,33,Est. 3:00 $1000 1.10m Child/Adult J/O,II.2b Immediate JO,Arena 2,2021-07-23,/results?id=us_11870&show=us_419,419
1038,78,30,Est. 1:30 1.0m Child/Adult J/O,II.2b Immediate JO,Arena 2,2021-07-23,/results?id=us_11867&show=us_419,419
1039,79,22,$5000 ESI 1.35m Winning Round,II.2e Winning Round,Main Ring,2021-07-23,/results?id=us_11865&show=us_419,419
1040,80,15,Est. 9:00 $1000 1.20m Speed,II.1 Speed,Arena 2,2021-07-23,/results?id=us_11858&show=us_419,419
1041,81,10,Jump for Kevin 1.10m Speed,II.1 Speed,Arena 2,2021-07-23,/results?id=us_11855&show=us_419,419
1042,82,2,Est 11:00 .85m J/O,II.2b Immediate JO,Arena 2,2021-07-23,/results?id=us_11848&show=us_419,419
1043,83,1403,Est. 12:00 $2000 1.40m Platinum Second Ind Qualifier,II Blue Ribbon,Zone Championships,2021-07-22,/results?id=us_11961&show=us_419,419
1044,84,1203,$375 Zone 1.20/1.30m Jr/Am Second Ind Qualifier,II Blue Ribbon,Zone Championships,2021-07-22,/results?id=us_11953&show=us_419,419
1045,85,1202,Est. 11:00 $375 Zone 1.201.30m JrAm Team Champ,II Blue Ribbon,Zone Championships,2021-07-22,/results?id=us_11952&show=us_419,419
1046,86,1103,$375 Zone 1.10m Ch/Ad Second Ind Qualifier,II Blue Ribbon,Zone Championships,2021-07-22,/results?id=us_11949&show=us_419,419
1047,87,1102,$375 Zone 1.10m Ch/Ad Team Champ,II Blue Ribbon,Zone Championships,2021-07-22,/results?id=us_11948&show=us_419,419
1048,88,390,THIS/Ariat Child/Adult Medal,Hunters,Hunter Arena,2021-07-22,/results?id=us_11937&show=us_419,419
1049,89,216,"$500 Non-Pro 3'6"" Hunter O/F - Stake",Hunters,Hunter Arena,2021-07-22,/results?id=us_11928&show=us_419,419
1050,90,215,"Non-Pro 3'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-22,/results?id=us_11927&show=us_419,419
1051,91,211,$500 Non-Pro 3' Hunter O/F - Stake,Hunters,Hunter Arena,2021-07-22,/results?id=us_11923&show=us_419,419
1052,92,210,Non-Pro 3' Hunter O/F,Hunters,Hunter Arena,2021-07-22,/results?id=us_11922&show=us_419,419
1053,93,206,"$100 Non-Pro 2'6"" Hunter O/F - Stake",Hunters,Hunter Arena,2021-07-22,/results?id=us_11918&show=us_419,419
